step,train/vllm/spec_acceptance_length,train/vllm/spec_acceptance_rate,train/draft_loss,validation/accuracy,train/approx_entropy,train/gen_kl_error,train/reward,train/turns_per_sample/mean,train/math_code_harbor_agent/num_tool_calls/mean,train/math_code_harbor_agent/generated_tokens/mean,train/math_code_harbor_agent/model_generation_sec/mean,train/math_code_harbor_agent/num_model_calls/mean,train/vllm/request_decode_time_mean_s,train/vllm/request_prefill_time_mean_s,train/vllm/request_queue_time_mean_s,train/mean_gen_tokens_per_sample,validation/timing/rollout/total,timing/train/total_step_time,timing/train/exposed_generation,performance/generation_tokens_per_sec
76,1,0,,,0.2790914487320606,0.0014371997478246357,0.7734375,7.1142578125,6.1806640625,7644.41015625,104.1862646484375,7.1142578125,13.142955486520988,0.03353486015798978,4.144330967542463e-06,7644.41015625,,383.9310272820003,4.776655860012397,22914.568138152856
77,1,0,,,0.2786963016533264,0.0014698441820186758,0.8166015148162842,6.9560546875,6.03515625,7030.4248046875,93.1432236328125,6.9560546875,15.50381222497505,0.03436342625890781,1.284898574927839e-05,7030.4248046875,,482.4514096749772,128.6347984809836,16747.031162837808
78,1,0,,,0.2793445605730085,0.0014467233362793763,0.7852538824081421,6.6533203125,5.7021484375,7791.080078125,104.74198828125,6.6572265625,15.91086543653227,0.03413980536546396,2.219384688208254e-05,7791.080078125,,452.9420196430001,64.4566105879785,19824.735538335957
79,1,0,,,0.29319493294974563,0.0015584931768000132,0.7847656011581421,6.5732421875,5.619140625,7870.201171875,106.1208037109375,6.5751953125,15.602098638829302,0.03446845217160227,2.1115850297766818e-05,7870.201171875,,448.3729304340086,54.12991995300399,20158.8810468852
80,1,0,,0.78125,0.282642117634623,0.0014835170475109294,0.8095703125,6.9580078125,6.0029296875,7889.673828125,110.2077109375,6.9599609375,17.27772639411288,0.03641053388276737,1.0808921245947885e-05,7889.673828125,230.57998736898298,815.8398559409834,28.72911604400724,21620.51971638496
81,1,0,,,0.28126042717349264,0.0014583234994276495,0.7720702886581421,7.1494140625,6.1953125,8757.837890625,125.2812998046875,7.15234375,13.929028560355343,0.03753163987377012,9.753616246142966e-06,8757.837890625,,441.0749322420161,14.854543855006341,22541.241858126505
82,1,0,,,0.2781016226601878,0.0014010503630004223,0.7748047113418579,7.96484375,7.052734375,8734.01953125,117.030708984375,7.9658203125,16.132091992603677,0.03552599359196967,1.223227580551926e-05,8734.01953125,,491.515163567994,48.92172457301058,20475.00643491222
83,1,0,,,0.28340467918633294,0.0014556394410831786,0.7982421517372131,7.4892578125,6.5693359375,8756.5185546875,122.714083984375,7.4921875,16.141327318899695,0.03516000318682982,4.153758446477371e-06,8756.5185546875,,503.1869677719951,66.3680956029857,19818.70869001505
84,1,0,,,0.30424642008915725,0.0015411595236720643,0.7451171278953552,7.525390625,6.60546875,8697.90625,123.3270810546875,7.525390625,14.601112411574434,0.03357029580405222,1.1685128845705605e-05,8697.90625,,465.59970375098055,37.66101799701573,21185.572543381095
85,1,0,,,0.28494979441575197,0.0014249331026086054,0.8146483898162842,7.3408203125,6.408203125,8161.7783203125,108.9296328125,7.3447265625,16.42260950859472,0.03466891318370616,4.0594896225366865e-06,8161.7783203125,,544.5927924109856,75.51024701198912,19340.73843268104
86,1,0,,,0.2962726378336811,0.0014939756044931585,0.8111327886581421,7.298828125,6.3720703125,8703.513671875,121.6891484375,7.30078125,15.507671572719797,0.0346594022111835,4.067618082727081e-06,8703.513671875,,431.23491855702014,9.723964384000283,22799.243570895636
87,1,0,,,0.30578866145219763,0.0015050506766662863,0.7969726920127869,7.703125,6.7900390625,8609.62109375,121.355962890625,7.705078125,16.038153694689854,0.03526823542696233,1.838113768923186e-05,8609.62109375,,514.1666364689881,90.07146248899517,18997.313549047383
88,1,0,,,0.28804321485745277,0.0014679887865014507,0.7841796278953552,7.5947265625,6.658203125,8881.34765625,123.6541298828125,7.5966796875,15.047682692596712,0.036138706763609266,4.480837691616982e-06,8881.34765625,,515.7344919500174,16.84547990601277,22305.96797479544
89,1,0,,,0.2839073138100048,0.0014798533542013104,0.788378894329071,8.4638671875,7.59375,9029.736328125,129.6394931640625,8.46484375,17.216729887293557,0.03949040275398299,4.150499664503364e-06,9029.736328125,,549.8473777978215,87.16876976075582,18763.363678514368
90,1,0,,0.7979166507720947,0.29881804632191233,0.0014834347529948388,0.78759765625,7.6640625,6.7373046875,9076.83203125,133.9706103515625,7.666015625,15.202235592200646,0.034784418993300835,4.832892450754412e-05,9076.83203125,244.10610227193683,875.3892021710053,76.50176559272222,20194.785063661486
